media,beforeLikes,afterLikes,beforeRetweets,afterRetweets,diffLikes,diffRetweets,advertise
caixin,2.21,2,2,1.87,-0.21,-0.13,no
CCTV,36.03,25.4,5.92,4.25,-10.62,-1.68,no
cgtnafrica,4.31,2.63,1.91,1.41,-1.68,-0.51,no
cgtnamerica,20.22,16.77,6.61,5.45,-3.45,-1.17,no
CGTNOfficial,55.25,44,14.67,11.62,-11.24,-3.05,no
cgtnrussian,8.48,7.96,4.63,4.46,-0.52,-0.17,no
cgtnarabic,11.84,9.41,2.09,1.97,-2.43,-0.12,no
cgtnenespanol,18.09,15.19,8.89,7.74,-2.9,-1.15,no
XHNews,46.57,37.09,15.3,12.02,-9.49,-3.28,no
XHSports,11.83,15.79,1.36,1.7,3.96,0.34,yes
XinhuaChinese,36.59,24.82,5.91,4.24,-11.77,-1.68,no
XinhuaTravel,3455.36,1830.65,218.09,100.64,-1624.72,-117.46,yes
XHscitech,8.33,9.37,3.79,3.13,1.03,-0.66,no
XHespanol,9.67,7.97,7.14,5.79,-1.7,-1.34,no
XHJapanese,10.61,8.86,5.38,4.71,-1.75,-0.68,no
globaltimesnews,52.09,35.94,10.09,8.3,-16.15,-1.79,no
PDChina,142.92,103.33,34.25,25.9,-39.59,-8.36,no
PDChinese,126.82,96.59,15.29,11.54,-30.22,-3.75,no
PuebloEnLnea,3.94,3.8,1.96,1.72,-0.14,-0.24,no
PDChinaBusiness,43.17,35.3,5,4.2,-7.88,-0.8,no
ChinaScience,70.77,63.54,13.57,12.14,-7.23,-1.42,yes
PDChinaLife,139.54,142.15,21.51,23.3,2.61,1.79,yes
PDChinaSports,9.87,28.01,1.17,3.03,18.14,1.86,yes
shanghaidaily,3.02,2.6,0.8,0.58,-0.42,-0.21,no
SixthTone,5.26,5.59,3.41,2.28,0.33,-1.13,no
yicaichina,1.22,1.08,0.77,0.65,-0.14,-0.13,no
ipandacom,384.64,590.97,72.22,115.11,206.33,42.89,yes
chinaorgcn,11.97,9.02,3.86,2.67,-2.95,-1.2,no
Echinanews,16.15,10.7,4.54,3.03,-5.45,-1.51,no
ChinaDaily,42.87,35.66,10.52,9.23,-7.22,-1.29,no
Guangming_Daily,3.4,3.61,0.72,0.73,0.21,0.01,no
ChinaPlusNews,6.7,5.4,2.29,1.92,-1.31,-0.36,no
thouse_opinions,11.77,7.77,4.62,2.73,-4,-1.89,no
